"timestamp","heartrate","RR"
630558.59375,65.9227467811159,910.15625
631457.03125,66.7826086956522,898.4375
632441.40625,60.9523809523809,984.375
633484.375,57.5280898876404,1042.96875
634449.21875,62.1862348178138,964.84375
635371.09375,65.0847457627119,921.875
636277.34375,66.2068965517241,906.25
637199.21875,65.0847457627119,921.875
638085.9375,67.6651982378855,886.71875
638941.40625,70.1369863013699,855.46875
639773.4375,72.112676056338,832.03125
640675.78125,66.4935064935065,902.34375
641644.53125,61.9354838709677,968.75
642593.75,63.2098765432099,949.21875
643496.09375,66.4935064935065,902.34375
644421.875,64.8101265822785,925.78125
645347.65625,64.8101265822785,925.78125
646238.28125,67.3684210526316,890.625
647113.28125,68.5714285714286,875
648035.15625,65.0847457627119,921.875
649035.15625,60,1000
650007.8125,61.6867469879518,972.65625
650917.96875,65.9227467811159,910.15625
651867.1875,63.2098765432099,949.21875
652878.90625,59.3050193050193,1011.71875
653820.3125,63.7344398340249,941.40625
654714.84375,67.0742358078603,894.53125
655593.75,68.2666666666667,878.90625
656535.15625,63.7344398340249,941.40625
657527.34375,60.4724409448819,992.1875
658500,61.6867469879518,972.65625
659460.9375,62.4390243902439,960.9375
660500,57.7443609022556,1039.0625
661562.5,56.4705882352941,1062.5
662582.03125,58.8505747126437,1019.53125
663566.40625,60.9523809523809,984.375
664593.75,58.4030418250951,1027.34375
665593.75,60,1000
666527.34375,64.2677824267782,933.59375
667410.15625,67.9646017699115,882.8125
668328.125,65.3617021276596,917.96875
669332.03125,59.7665369649805,1003.90625
670308.59375,61.44,976.5625
671238.28125,64.5378151260504,929.6875
672199.21875,62.4390243902439,960.9375
673214.84375,59.0769230769231,1015.625
674218.75,59.7665369649805,1003.90625
675148.4375,64.5378151260504,929.6875
676054.6875,66.2068965517241,906.25
676968.75,65.6410256410256,914.0625
677886.71875,65.3617021276596,917.96875
678812.5,64.8101265822785,925.78125
679722.65625,65.9227467811159,910.15625
680679.6875,62.6938775510204,957.03125
681773.4375,54.8571428571429,1093.75
682820.3125,57.3134328358209,1046.875
683777.34375,62.6938775510204,957.03125
684687.5,65.9227467811159,910.15625
685605.46875,65.3617021276596,917.96875
686554.6875,63.2098765432099,949.21875
687488.28125,64.2677824267782,933.59375
688382.8125,67.0742358078603,894.53125
689234.375,70.4587155963303,851.5625
690117.1875,67.9646017699115,882.8125
